Description,AssemblyDescription
1 1/2'' Seal Tight Flex,"1-1/2"" CONDUIT - FLEX"
1 “ Schedule 40 pvc conduit,"1"" CONDUIT - PVC"
"3/4"" grc conduit","3/4"" CONDUIT - GRC"
"1 1/2"" Flex","1-1/2"" CONDUIT - FLEX"
"3"" PVC Sweep","3"" CONDUIT - PVC"
KYL 012011  3/4INX1000FT ENT U,"3/4"" CONDUIT - ENT"
"4"" PVC Schedule 40  (20' secti","4"" CONDUIT - PVC"
1/2” Carflex,"1/2"" CONDUIT - FLEX"
"4""PVC sch 40 pipe","4"" CONDUIT - PVC"
"4"" PVC F/A","4"" CONDUIT - PVC"
"3"" PVC MA'S","3"" CONDUIT - PVC"
"1"" Metal Flex Greenfield","1"" CONDUIT - FLEX"
"1"" emt conduit","1"" CONDUIT - EMT"
"1"" Green field (metal Flex)","1"" CONDUIT - FLEX"
3/4” RED EMT,"3/4"" CONDUIT - EMT"
1 1/4” Pvc,"1-1/4"" CONDUIT - PVC"
1-roll 3/4'' Green Field Flex,"3/4"" CONDUIT - FLEX"
3/4” EMT CONDUIT,"3/4"" CONDUIT - EMT"
"3/4"" EMT Conduit","3/4"" CONDUIT - EMT"
"1-1/4"" PVC Conduit, 10', Sched","1-1/4"" CONDUIT - PVC"
Appleton CL100MN Rigid Conduit,UNK CONDUIT - PVC
"1/2"" EMT conduit","1/2"" CONDUIT - EMT"
"1 1/2"" EMT ","1-1/2"" CONDUIT - EMT"
"3/4"" FLEX CONDUIT","3/4"" CONDUIT - FLEX"
3/4” pvc,"3/4"" CONDUIT - PVC"
"2"" EMT","2"" CONDUIT - EMT"
1/2 carlon none metalick flex ,"1/2"" CONDUIT - FLEX"
1 1/2 EMT SS,"1-1/2"" CONDUIT - EMT"
"1"" EMT CONDUIT","1"" CONDUIT - EMT"
3/4” sch 40 pvc,"3/4"" CONDUIT - PVC"
"1"" pvc pipe sch. 40","1"" CONDUIT - PVC"
1-1/2”pvc,"1-1/2"" CONDUIT - PVC"
2 1/2 emt conduit,"2-1/2"" CONDUIT - EMT"
20' -1 1/4'' seal Tight Flex,"1-1/4"" CONDUIT - FLEX"
"1-1/2"" x 5"" Galvanized Conduit","1-1/2"" CONDUIT - GRC"
"PVC 3"" CONDUIT SCH 40 10'","3"" CONDUIT - PVC"
EMT 150 1-1/2X10FT-EMT,"1-1/2"" CONDUIT - EMT"
SQZ FLEX 3/4,"3/4"" CONDUIT - FLEX"
1-1/2” pvc scd 40,"1-1/2"" CONDUIT - PVC"
"[GRC/RMC] 1 1/2"", 10' Sticks","1-1/2"" CONDUIT - GRC"
"2"" PVC SCH80","2"" CONDUIT - PVC"
"2"" sealtight","2"" CONDUIT - FLEX"
3/4'' Seal Tight Flex,"3/4"" CONDUIT - FLEX"
1-roll 1'' Green Field Flex,UNK CONDUIT - FLEX
"2"" pvc LB (weatherproof)","2"" CONDUIT - PVC"
2'' PVC COND,UNK CONDUIT - PVC
1 1/2 “ Pvc  Conduit,"1-1/2"" CONDUIT - PVC"
"1 1/2"" flex (greenfeild)","1-1/2"" CONDUIT - FLEX"
"1"" PVC SCH 80 CONDUIT","1"" CONDUIT - PVC"
2 1/2 emt 30s,"2-1/2"" CONDUIT - EMT"
"100' Total 3"" PVC SCH 40","3"" CONDUIT - PVC"
"3/4"" sealtight flex","3/4"" CONDUIT - FLEX"
1 1/2 RIGID PIPE,"1-1/2"" CONDUIT - PVC"
4” PVC x 10’  pipe,"4"" CONDUIT - PVC"
2-1/2-RIGID CONDUIT,"2-1/2"" CONDUIT - PVC"
1” EMT,"1"" CONDUIT - EMT"
4-STEEL THINWALL CONDUIT,UNK CONDUIT - EMT
3” schedule 40 PVC,"3"" CONDUIT - PVC"
"3/4"" & 1"" KO's PVC ENT Slab Bo","3/4"" CONDUIT - ENT"
MA ADPTR 2-1/2IN X 2.48IN PVC,"2-1/2"" CONDUIT - PVC"
1/2 flex,"1/2"" CONDUIT - FLEX"
"2"" EMT Minnies","2"" CONDUIT - EMT"
"2"" EMT Pipe","2"" CONDUIT - EMT"
1” pvc schedule 40,"1"" CONDUIT - PVC"
"[EMT] 3/4"", 10' Sticks","3/4"" CONDUIT - EMT"
ARLINGTON EMT75,UNK CONDUIT - EMT
"[EMT] 1 1/4"", 10' Sticks","1-1/4"" CONDUIT - EMT"
"[PVC] 3"", Schedule 40, 10' St","3"" CONDUIT - PVC"
